"","Var1","Freq","meanwage","Occupation","percentshare"
"69","76",76,47.9732328490559,"Tanners, Fellmongers and Pelt Dressers",0.078
"50","54",1662,50.1411179327842,"Building Caretakers, Sweepers, Cleaner and Related Workers",1.699
"91","98",4127,52.4181831747587,"Transport Equipment Operators",4.219
"80","87",778,54.9133998507284,"Plumbers, Welders, Sheet Metal, Structural Metal Preparers and Erectors",0.795
"90","97",1589,56.0454285908377,"Material Handling and Related Equipment Operators, Dockers and Freight Handlers",1.624
"76","83",1123,56.8575150072993,"Blacksmiths, Tool-Makers and Machine Tool Operators",1.148
"77","84",2588,58.2982613297763,"Machinery Fitters Machine Assemblers and Precision Instrument Makers (Except Electrical)",2.646
"37","38",260,61.2102528752403,"Mail Distributors and Related Workers",0.266
"79","86",70,64.4889134198402,"Broadcasting Station & Sound Equipment Operators & Cinema Projectionists",0.072
"78","85",1658,70.8718580724503,"Electrical Fitters and Related Electrical and Electronic Workers",1.695
"55","60",93,71.7323065840299,"Farm Plantation, Dairy and Other Managers and Supervisor",0.095
"65","72",614,71.9067588381683,"Metal Processors",0.628
"89","96",397,72.0026480617797,"Stationary Engines and Related Equipment Operators and Oliers and Greasers",0.406
"12","11",20,76.0504001185888,"Economists and Related Workers",0.02
"2","01",52,81.8679122986944,"Physical Science Technicians",0.053
"64","71",580,82.6996106188736,"Miners, Quarrymen, Well Drillers and Related Workers",0.593
"36","37",357,86.7635391581919,"Transport Conductor and Guards",0.365
"34","35",7515,86.8771970044485,"Clerical and Related Workers",7.682
"9","08",740,87.4029084647488,"Nurses and Other Medical and Health Technicians",0.756
"7","06",38,88.0381106516038,"Life Science Technicians",0.039
"30","31",109,88.5091565115228,"Village Officials",0.111
"41","42",111,89.8535596343143,"Technical Salesmen and Commercial Travellers",0.113
"8","07",606,93.5684265104151,"Physicians and Surgeons",0.619
"53","57",2288,95.2614300328427,"Protective Service Workers",2.339
"67","74",284,97.4193274512004,"Chemical Processors and Related Workers",0.29
"21","20",35,102.620394881977,"Elected and Legislative Officials",0.036
"31","32",557,105.633874374264,"Stenographers, Typists and Card and Tape Punching Operators",0.569
"16","15",3959,105.779907003379,"Teachers",4.047
"38","39",229,111.807666621055,"Telephone and Telegraph Operators",0.234
"14","13",108,117.697704757703,"Social Scientists and Related Workers",0.11
"32","33",1222,118.701334749483,"Book Keepers, Cashiers and Related Workers",1.249
"29","30",1891,128.815578853348,"Clerical and Other Workers",1.933
"28","29",157,130.182965556479,"Administrative, Executive and Managerial Workers ",0.16
"35","36",300,132.728938457073,"Transport and Communication Supervisors",0.307
"10","09",65,134.481548116161,"Scientific Medical and Technical Persons, Other",0.066
"33","34",55,135.06859112289,"Computing Machine Operator",0.056
"13","12",688,135.226111618992,"Accountants, Auditors and Related Workers",0.703
"11","10",88,136.805537034509,"Mathematicians, Statisticians and Related Workers",0.09
"17","16",57,143.477414647834,"Poets, Authors, Journalists and Related Workers",0.058
"1","00",84,145.432366209513,"Physical Scientists",0.086
"4","03",731,148.405062489474,"Engineering Technicians",0.747
"6","05",67,164.786514618386,"Life Scientists",0.068
"22","21",500,184.349297674363,"Administrative and Executive Officials, Govt and Local Bodies",0.511
"3","02",702,193.892205809097,"Architects, Engineers, Technologists and Surveyors",0.718
"24","23",222,248.461867869569,"Directors and Managers, Financial Institutions",0.227
"5","04",70,279.039234844687,"Aircraft and Ships Officers",0.072
