"","Var1","Freq","meanwage","Occupation","percentshare"
"33","34",5,57.3492277882798,"Computing Machine Operator",0.002
"10","09",19,57.9386418582292,"Scientific Medical and Technical Persons, Other",0.009
"35","36",86,60.3299465848053,"Transport and Communication Supervisors",0.041
"31","32",58,61.0767924922983,"Stenographers, Typists and Card and Tape Punching Operators",0.028
"80","87",162,61.23752596107,"Plumbers, Welders, Sheet Metal, Structural Metal Preparers and Erectors",0.078
"89","96",166,63.7231365928733,"Stationary Engines and Related Equipment Operators and Oliers and Greasers",0.08
"3","02",113,64.0909613003766,"Architects, Engineers, Technologists and Surveyors",0.054
"9","08",332,66.4753973470843,"Nurses and Other Medical and Health Technicians",0.159
"78","85",494,69.5323929824654,"Electrical Fitters and Related Electrical and Electronic Workers",0.237
"53","57",706,69.7516575700679,"Protective Service Workers",0.339
"6","05",19,72.5265744354395,"Life Scientists",0.009
"30","31",276,74.4550025286407,"Village Officials",0.133
"14","13",60,74.6792813767551,"Social Scientists and Related Workers",0.029
"36","37",171,76.1723479598683,"Transport Conductor and Guards",0.082
"34","35",1896,79.5685498210926,"Clerical and Related Workers",0.911
"38","39",49,80.4337239006734,"Telephone and Telegraph Operators",0.024
"28","29",22,87.8741088885141,"Administrative, Executive and Managerial Workers ",0.011
"4","03",85,88.6157514060018,"Engineering Technicians",0.041
"32","33",168,90.0788865350441,"Book Keepers, Cashiers and Related Workers",0.081
"29","30",433,94.3847879460265,"Clerical and Other Workers",0.208
"13","12",50,97.0388568088837,"Accountants, Auditors and Related Workers",0.024
"16","15",3269,103.913082567076,"Teachers",1.57
"24","23",27,129.394245458252,"Directors and Managers, Financial Institutions",0.013
"22","21",83,132.882434294473,"Administrative and Executive Officials, Govt and Local Bodies",0.04
